id,score_smog1,score_smog2,score_smartway
20171,1.0,-1.0,NON
20172,1.0,-1.0,NON
20173,1.0,-1.0,NON
20174,1.0,-1.0,NON
20175,2.0,-1.0,NON
20176,1.0,-1.0,NON
20177,2.0,-1.0,NON
20178,2.0,-1.0,NON
20179,5.0,-1.0,NON
20180,2.0,-1.0,NON
20181,1.0,-1.0,NON
20182,1.0,-1.0,NON
20183,1.0,-1.0,NON
20184,1.0,-1.0,NON
20185,1.0,-1.0,NON
20186,1.0,-1.0,NON
20187,1.0,-1.0,NON
20188,1.0,-1.0,NON
20190,1.0,-1.0,NON
20191,1.0,-1.0,NON
20192,2.0,-1.0,NON
20193,1.0,-1.0,NON
20194,5.0,-1.0,NON
20195,5.0,-1.0,NON
20196,1.0,-1.0,NON
20197,1.0,-1.0,NON
20198,5.0,-1.0,NON
20199,1.0,-1.0,NON
20200,1.0,-1.0,NON
20201,1.0,-1.0,NON
20202,5.0,-1.0,NON
20203,1.0,-1.0,NON
20204,1.0,-1.0,NON
20205,1.0,-1.0,NON
20206,5.0,-1.0,NON
20207,5.0,-1.0,NON
20208,1.0,-1.0,NON
20209,1.0,-1.0,NON
20210,1.0,-1.0,NON
20211,1.0,-1.0,NON
20212,2.0,-1.0,NON
20213,5.0,-1.0,NON
20214,1.0,-1.0,NON
20216,1.0,-1.0,NON
20217,5.0,-1.0,NON
20218,1.0,-1.0,NON
20219,1.0,-1.0,NON
20220,1.0,-1.0,NON
20221,1.0,-1.0,NON
20222,1.0,-1.0,NON
20223,1.0,-1.0,NON
20224,5.0,-1.0,NON
20225,1.0,-1.0,NON
20226,2.0,-1.0,NON
20227,2.0,-1.0,NON
20228,5.0,-1.0,NON
20229,2.0,-1.0,NON
20230,2.0,-1.0,NON
20231,5.0,-1.0,NON
20232,5.0,-1.0,NON
20233,2.0,-1.0,NON
20234,2.0,-1.0,NON
20235,1.0,-1.0,NON
20236,1.0,-1.0,NON
20237,1.0,-1.0,NON
20238,5.0,-1.0,NON
20239,1.0,-1.0,NON
20240,1.0,-1.0,NON
20241,1.0,-1.0,NON
20242,5.0,-1.0,NON
20243,5.0,-1.0,NON
20244,1.0,-1.0,NON
20245,1.0,-1.0,NON
20246,1.0,-1.0,NON
20247,1.0,-1.0,NON
20248,1.0,-1.0,NON
20249,1.0,-1.0,NON
20250,5.0,-1.0,NON
20251,1.0,-1.0,NON
20252,1.0,-1.0,NON
20253,1.0,-1.0,NON
20254,5.0,-1.0,NON
20255,1.0,-1.0,NON
20256,1.0,-1.0,NON
20257,1.0,-1.0,NON
20258,2.0,-1.0,NON
20259,2.0,-1.0,NON
20260,2.0,-1.0,NON
20261,5.0,-1.0,NON
20262,1.0,-1.0,NON
